"POOL_ID","BLOCK_ID","SPACE","PAGE_NUMBER","PAGE_TYPE","FLUSH_TYPE","FIX_COUNT","IS_HASHED","NEWEST_MODIFICATION","OLDEST_MODIFICATION","ACCESS_TIME","TABLE_NAME","INDEX_NAME","NUMBER_RECORDS","DATA_SIZE","COMPRESSED_SIZE","PAGE_STATE","IO_FIX","IS_OLD","FREE_PAGE_CLOCK"
"0","2976","10","3931","INDEX","0","0","0","229290596","0","174005","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2853"
"0","2977","10","3932","INDEX","0","0","0","229298324","0","174008","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2854"
"0","2978","0","4885","UNDO_LOG","0","3","0","302920340","302920316","174009","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","2855"
"0","2979","10","3933","INDEX","0","0","0","229306052","0","174010","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2856"
"0","2980","10","3934","INDEX","0","0","0","229313780","0","174013","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2857"
"0","2981","0","4886","UNDO_LOG","0","3","0","302920316","302920292","174014","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","2858"
"0","2982","10","3935","INDEX","0","0","0","229321508","0","174015","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2859"
"0","2983","10","3936","INDEX","0","0","0","229329236","0","174018","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2860"
"0","2984","0","4887","UNDO_LOG","0","3","0","302920292","302920268","174019","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","2861"
"0","2985","10","3937","INDEX","0","0","0","229336964","0","174020","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2862"
"0","2986","10","5666","INDEX","0","0","0","290598395","0","181624","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","5787"
"0","2987","10","3938","INDEX","0","0","0","229344692","0","174023","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2864"
"0","2988","0","4888","UNDO_LOG","0","3","0","302920268","302920244","174024","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","2865"
"0","2989","10","3939","INDEX","0","0","0","229352420","0","174025","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2866"
"0","2990","10","3940","INDEX","0","0","0","229360164","0","174027","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2867"
"0","2991","0","4889","UNDO_LOG","0","3","0","302920244","302920220","174030","NULL","NULL","0","0","0","FILE_PAGE","IO_NONE","0","2868"
"0","2992","10","3941","INDEX","0","0","0","229367892","0","174031","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2869"
"0","2993","10","3942","INDEX","0","0","0","229375620","0","174034","`employees`.`salaries`","PRIMARY","468","14976","0","FILE_PAGE","IO_NONE","0","2870"
